emotion,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot,Body_translational
COE,1.56662471,1.192766047,1.563107539,3.024485732,6.042703105,3.625382702,7.031896106,3.617055032,3.098011937,3.913030245,2.61552354,3.669930368,3.480228264,3.652946073,4.374800664,1.562981649
COE,1.429491484,1.055220248,1.376949121,3.398433325,6.681802143,4.080054647,6.725585727,3.250034768,2.783879337,4.085812411,2.85117384,4.058876873,3.066177979,3.674804621,4.747367916,1.650052226
COE,1.309391925,1.084568809,1.150528739,2.841062635,5.026202264,2.564199596,4.826196824,3.098152774,2.679416037,4.107812664,2.704791737,2.525152089,2.269643661,3.706632018,4.591649267,1.536059731
COE,1.083335607,1.222082883,1.134977329,2.962236171,4.893580605,4.195448937,5.126010608,3.102060022,2.777137112,3.907082246,2.569062151,3.792175257,3.002750586,4.163264058,4.490829074,1.613843592
JOE,1.171571057,0.9393130448,1.476469691,5.086636619,3.999604778,5.703623107,3.411850734,1.941144349,1.670026953,2.556282421,1.489421228,3.130226571,2.762998291,2.684066903,3.236774786,1.050670954
JOE,1.208081796,1.755091679,1.836236138,3.074908651,2.438084114,3.372153544,2.322709381,2.445847075,2.248318611,3.023002025,1.928199864,2.969515351,2.658897797,2.939017042,3.711948325,1.256047333
JOE,1.47643627,2.614040101,2.202848096,3.836233124,3.690875827,4.038890695,3.192774465,2.63354707,2.494144336,2.892938987,1.639392344,3.839906969,2.624970053,3.132689116,3.676875575,1.394456617
JOE,1.074381039,1.781310166,1.785698532,2.560392299,1.869184285,2.81686544,2.305941441,2.541008228,2.414579316,2.944392787,2.057149259,2.119432444,2.28935305,3.234074178,3.641621952,1.192563753
JOE,0.9877504105,1.183853268,1.507472048,2.370997607,2.382907175,3.071376385,2.483879779,2.334307847,2.266793148,2.844426788,1.719622415,2.354851177,1.908192973,3.172671305,3.429887335,1.225360263
NEE,0.922344659,0.4968038787,1.070250135,1.144687798,0.5398358105,1.145737727,0.6625340504,2.312805383,1.997429943,3.086839509,1.908915017,1.205114667,1.116603395,2.910411363,3.808280924,1.147484825
NEE,0.798744848,0.4137142927,0.9141366228,1.02334049,0.5734821058,1.055383164,0.4908211535,2.228118015,2.031340979,2.655087506,1.612794188,1.042500465,0.9785117795,2.838138086,3.328847955,1.060393219
NEE,0.954562364,0.5378682359,1.139580467,1.364311488,0.8219453203,1.704393841,1.08579383,2.464744769,2.273057438,3.149737181,1.982963471,1.5452919,1.584291074,3.090289741,3.873055317,1.177385526
NEE,0.9400667858,0.5698912129,1.141516536,1.366213362,0.7830307275,1.605088721,0.9372686426,2.458718094,2.247017685,2.9477248,1.808597975,1.495958654,1.621269525,3.073725974,3.692548321,1.184054242
NEE,0.9054661202,0.5441854952,1.049651814,1.07272789,0.5691328355,1.282394423,0.8073246632,2.524837284,2.373851012,2.942045383,1.785961456,1.082272624,1.28300671,3.27428036,3.757311372,1.182346829
