joint,time,angle_type,angle_deg
Body,5.23333,pitch,-1.908623286
Body,5.26667,pitch,-2.257722813
Body,5.3,pitch,-3.182738373
Body,5.33333,pitch,-4.017714867
Body,5.36667,pitch,-4.729158583
Body,5.4,pitch,-5.378176213
Body,5.43333,pitch,-5.500831609
Body,5.46667,pitch,-5.506426551
Body,5.5,pitch,-5.376892869
Body,5.53333,pitch,-5.339400844
Body,5.56667,pitch,-5.242168169
Body,5.6,pitch,-4.369151732
Body,5.63333,pitch,-2.582914795
Body,5.66667,pitch,-1.610509952
Body,5.7,pitch,-1.230424033
Body,5.73333,pitch,-1.853664201
Body,5.76667,pitch,-2.720509006
Body,5.8,pitch,-3.590905329
Body,5.83333,pitch,-4.531243213
Body,5.86667,pitch,-5.563052406
Body,5.9,pitch,-6.426929547
Body,5.93333,pitch,-6.988319658
Body,5.96667,pitch,-7.282520461
Body,6,pitch,-7.045181874
Body,6.03333,pitch,-6.114113475
Body,6.06667,pitch,-4.946160292
Body,6.1,pitch,-4.135181938
Body,6.13333,pitch,-3.668800516
Body,6.16667,pitch,-3.848798599
Body,6.2,pitch,-4.041993821
Body,6.23333,pitch,-3.223195097
Body,6.26667,pitch,-2.140197089
Body,6.3,pitch,-1.855080148
Body,6.33333,pitch,-2.496771903
Body,6.36667,pitch,-4.174343388
Body,6.4,pitch,-5.884359457
Body,6.43333,pitch,-6.775363842
Body,6.46667,pitch,-7.322320066
Body,0,yaw,-0.2029135162
Body,0.0333333,yaw,-85.95177674
Body,0.0666667,yaw,-88.14668379
Body,0.1,yaw,-88.98028302
Body,0.133333,yaw,-89.3732721
Body,0.166667,yaw,-89.57178789
Body,0.2,yaw,-89.69509125
Body,0.233333,yaw,-89.77094427
Body,0.266667,yaw,-89.83236086
Body,0.3,yaw,-89.87323854
Body,0.333333,yaw,-89.91008733
Body,0.366667,yaw,-89.92688679
Body,0.4,yaw,-89.94237289
Body,0.433333,yaw,-89.94985166
Body,0.466667,yaw,-89.95958887
Body,0.5,yaw,-89.96505572
Body,0.533333,yaw,-89.96421454
Body,0.566667,yaw,-89.96166609
Body,0.6,yaw,-89.93701459
Body,0.633333,yaw,-89.93210561
Body,0.666667,yaw,-89.93711727
Body,0.7,yaw,-89.93361421
Body,0.733333,yaw,-89.92324532
Body,0.766667,yaw,-89.91674151
Body,0.8,yaw,-89.91113894
Body,0.833333,yaw,-89.91846047
Body,0.866667,yaw,-89.89859375
Body,0.9,yaw,-89.89075792
Body,0.933333,yaw,-89.88730111
Body,0.966667,yaw,-89.88202966
Body,1,yaw,-89.8861357
Body,1.03333,yaw,-89.89420464
Body,1.06667,yaw,-89.89522553
Body,1.1,yaw,-89.88772071
Body,1.13333,yaw,-89.89082897
Body,1.16667,yaw,-89.89254841
Body,1.2,yaw,-89.88932434
Body,1.23333,yaw,-89.89669333
Body,1.26667,yaw,-89.89391183
Body,1.3,yaw,-89.89210347
Body,1.33333,yaw,-89.89341741
Body,1.36667,yaw,-89.90067301
Body,1.4,yaw,-89.90550417
Body,1.43333,yaw,-89.91359394
Body,1.46667,yaw,-89.90626687
Body,1.5,yaw,-89.91708311
Body,1.53333,yaw,-89.91863749
Body,1.56667,yaw,-89.93882963
Body,1.6,yaw,-89.94059973
Body,1.63333,yaw,-89.96092998
Body,1.66667,yaw,-90.00810011
Body,1.7,yaw,-90.06821551
Body,1.73333,yaw,-90.12553821
Body,1.76667,yaw,-90.26777744
Body,1.8,yaw,-90.4110053
Body,1.83333,yaw,-90.55365476
Body,1.86667,yaw,-90.70456813
Body,1.9,yaw,-90.81100336
Body,1.93333,yaw,-90.86604418
Body,1.96667,yaw,-90.73729153
Body,2,yaw,-90.41377278
Body,2.03333,yaw,-90.07677974
Body,2.06667,yaw,-90.30859489
Body,2.1,yaw,-91.13346123
Body,2.13333,yaw,-92.78763995
Body,2.16667,yaw,-95.20179691
Body,2.2,yaw,-97.54521907
Body,2.23333,yaw,-99.40630755
Body,2.26667,yaw,-100.6616845
Body,2.3,yaw,-101.4229611
Body,2.33333,yaw,-101.8614055
Body,2.36667,yaw,-102.0477724
Body,2.4,yaw,-101.9530787
Body,2.43333,yaw,-101.8109545
Body,2.46667,yaw,-101.6162164
Body,2.5,yaw,-101.5717516
Body,2.53333,yaw,-101.4191703
Body,2.56667,yaw,-102.9112963
Body,2.6,yaw,-104.1010583
Body,2.63333,yaw,-103.7426575
Body,2.66667,yaw,-102.2279308
Body,2.7,yaw,-99.90301466
Body,2.73333,yaw,-96.90790327
Body,2.76667,yaw,-93.99329545
Body,2.8,yaw,-91.89028435
Body,2.83333,yaw,-90.1613828
Body,2.86667,yaw,-88.29122639
Body,2.9,yaw,-86.39957603
Body,2.93333,yaw,-84.6282815
Body,2.96667,yaw,-83.04563413
Body,3,yaw,-81.86357318
