data_name,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot
PAIBCOE01.4,144.0746097,70.28216642,189.4222024,171.9508068,265.8507398,186.9545917,257.4691247,264.6965758,158.6441914,257.7588486,155.2161408,163.0053623,118.5065333,249.6772543,248.39048
PAIBCOE02.4,136.5447113,69.37300065,167.7549816,164.2159177,209.2517651,163.1433144,183.585809,240.3735816,156.885015,250.0254617,146.6492328,141.0303495,116.8872987,227.1744988,251.3737345
PAIBCOE03.4,147.1708909,86.98227264,189.2464586,207.5496951,302.8107444,185.8798727,190.6339381,275.7883249,200.0342947,263.4646778,155.1925423,181.0698927,99.52792853,241.1406216,252.249582
PAIBCOE04.4,122.1180123,69.16596579,157.0967331,155.1730431,190.9114324,137.0246347,146.3413293,236.6243809,168.6032438,231.4024539,151.0919307,112.7413598,79.62963213,228.9550471,224.1068864
PAIBCOE05.4,145.6825402,75.99605039,186.3902112,188.9721617,254.0038886,173.9763906,204.2801796,279.6376178,201.4929824,251.4463537,151.5146324,161.5880434,109.1274351,244.8357285,246.6810356
PAIBJOE01.4,120.8672187,46.93984583,151.7619348,116.2389819,182.6707372,141.7087814,134.6452791,222.0664694,146.5484317,230.289118,155.2892528,132.3389764,108.2925292,205.2815807,250.82383
PAIBJOE02.4,112.587555,43.99347485,141.6682054,120.0071552,146.2233993,144.9223251,148.5198984,216.3244954,159.4195741,222.7400944,156.2294119,116.149869,110.1796631,215.3167571,235.762861
PAIBJOE03.4,109.3800573,44.47525414,138.5687951,120.9945573,195.7647534,149.1542781,183.13674,204.2500085,150.1328442,221.6930169,167.976121,134.1755269,128.3763422,199.8537432,233.0605923
PAIBJOE04.4,112.961593,41.90866528,147.2322575,119.2604145,202.563785,140.5653628,153.1647431,226.217074,170.5267738,213.7005525,141.2524652,144.9885503,119.6597511,234.3991877,231.4569975
PAIBJOE05.4,104.6123697,38.71766079,132.4675923,111.6035893,195.0476463,132.3565133,140.1951007,201.8616671,147.9675655,203.8915684,141.6992771,137.1208375,111.1009128,210.2789403,221.7950849
PAIBNEE01.4,74.40948091,28.22797703,92.60997593,55.82439128,35.86007885,67.35647626,38.49505179,161.7765113,123.9806175,168.9510249,121.2371097,42.0346127,47.81262735,170.4458098,191.6589486
PAIBNEE02.4,70.94208525,25.17294604,87.22441347,48.72216808,33.71535644,72.47949346,41.14306618,154.092197,120.1422803,164.1387404,116.9551864,40.34081024,52.25792076,168.1915404,185.2212331
PAIBNEE03.4,65.31687157,20.12105272,80.41741851,55.18285415,38.93148311,62.72245156,38.28675488,143.5167722,108.5226118,153.1697761,106.6755924,43.84689357,46.74799432,155.9770938,171.0255992
PAIBNEE04.4,84.57508046,30.97066161,105.5864714,81.53270479,53.49552016,97.65813044,56.74569703,192.1564122,148.7844586,190.9666115,137.0756898,67.20026449,73.54528748,199.6066814,213.200991
PAIBNEE05.4,87.21651099,28.6338508,106.1581428,71.91237984,53.46780332,92.64791181,52.33726153,189.1926307,139.0018176,195.141952,138.6790813,63.84854278,66.36473323,193.9621465,222.8770097
PAIBTRE01.4,41.71174965,16.43268673,46.77538548,43.38528221,26.51769644,34.84485316,25.4427913,87.74734501,66.01975411,88.23075006,46.36281082,30.88712041,23.59945322,124.649216,107.2621738
PAIBTRE02.4,44.10827512,15.53085846,48.75186631,46.11390543,24.51677098,38.16275276,28.43830228,94.13326653,74.14395011,91.5594141,47.17783528,29.03756694,29.32564745,121.416329,113.008228
PAIBTRE03.4,42.78375289,12.27176834,46.34502267,47.49759145,33.53256651,38.22819871,25.15641997,90.22740282,61.07545949,89.16447596,48.67519669,37.85041134,28.58245584,127.7221756,113.3995513
PAIBTRE04.4,45.86172369,16.13665516,50.6852696,54.7673869,34.02131549,44.55881106,35.53596201,88.50525567,62.36814016,92.43045393,42.7930794,39.56770656,39.04641111,120.4498486,113.009903
PAIBTRE05.4,38.79785222,12.96564766,42.14927076,38.28347722,33.86140955,32.29700481,25.9113624,79.62166409,51.52001832,79.51383082,42.50734885,33.0712066,23.84727866,120.9469687,101.8251033
SALECOE01.4,74.37490069,39.92066304,93.64120994,148.5753965,183.5279935,111.1409937,91.58663778,249.3351002,180.5581678,270.8068088,220.0264014,138.587109,110.011281,289.3962967,272.6527903
SALECOE02.4,85.3133424,46.47671946,116.8431695,211.3841095,256.28335,147.020702,150.5770872,289.2915869,204.5237508,298.2768593,237.7271712,183.3242565,139.107463,314.8721042,307.0817066
SALECOE03.4,104.1257823,68.93464748,138.7997367,218.9479153,306.4665676,176.7249102,184.0605556,289.9585816,184.3940896,359.4999581,287.7184006,187.8018017,163.5395969,304.7237085,357.8308163
SALECOE04.4,99.23572158,67.23350628,125.7248379,206.0343965,286.2412463,150.5667395,157.366687,280.1123909,188.5757378,298.260291,229.41136,190.6152614,148.4166452,314.4171636,314.7965572
